time,value,n
2006-07-20,48.583333333333336,12
2006-07-21,33.416666666666664,12
2006-07-22,0,12
2006-07-23,20.666666666666668,12
2006-07-24,34.916666666666664,12
2006-07-25,50.583333333333336,12
2006-07-26,65.83333333333333,12
2006-07-27,25.75,12
2006-07-28,20.333333333333332,12
2006-07-29,0,12
2006-07-30,7.461538461538462,13
2006-07-31,59.23076923076923,13
2006-08-01,32.916666666666664,12
2006-08-02,39.333333333333336,12
2006-08-03,32.083333333333336,12
2006-08-04,19.083333333333332,12
2006-08-05,41.416666666666664,12
2006-08-06,7.916666666666667,12
2006-08-07,12.833333333333334,12
2006-08-08,46.916666666666664,12
2006-08-09,38.833333333333336,12
2006-08-10,36.916666666666664,12
2006-08-11,13.916666666666666,12
2006-08-12,0,12
2006-08-13,26,12
2006-08-14,27.076923076923077,13
2006-08-15,23.46153846153846,13
2006-08-16,35.166666666666664,12
2006-08-17,18.25,12
2006-08-18,17.916666666666668,12
2006-08-19,29.25,12
2006-08-20,32.583333333333336,12
2006-08-21,16,12
2006-08-22,26.416666666666668,12
2006-08-23,22.916666666666668,12
2006-08-24,49.166666666666664,12
2006-08-25,25.75,12
2006-08-26,25.333333333333332,12
2006-08-27,42.5,12
2006-08-28,11.166666666666666,12
2006-08-29,27.846153846153847,13
2006-08-30,45.23076923076923,13
2006-08-31,67.92307692307692,13
2006-09-01,37.61538461538461,13
2006-09-02,23.76923076923077,13
2006-09-03,27.416666666666668,12
2006-09-04,8.083333333333334,12
2006-09-05,38.416666666666664,12
2006-09-06,25.833333333333332,12
2006-09-07,32.833333333333336,12
2006-09-08,31.25,12
2006-09-09,0,12
2006-09-10,27.25,12
2006-09-11,18.166666666666668,12
2006-09-12,47.166666666666664,12
2006-09-13,23.76923076923077,13
2006-09-14,45.23076923076923,13
2006-09-15,13.153846153846153,13
2006-09-16,11.384615384615385,13
2006-09-17,12.76923076923077,13
2006-09-18,16.083333333333332,12
2006-09-19,9.166666666666666,12
2006-09-20,26.583333333333332,12
2006-09-21,3.8333333333333335,12
2006-09-22,26.833333333333332,12
2006-09-23,14.666666666666666,12
2006-09-24,21.75,12
2006-09-25,30.416666666666668,12
2006-09-26,16.25,12
2006-09-27,30,12
2006-09-28,39.30769230769231,13
2006-09-29,10.153846153846153,13
2006-09-30,22.692307692307693,13
2006-10-01,31.46153846153846,13
2006-10-02,20,12
2006-10-03,36.083333333333336,12
2006-10-04,41.083333333333336,12
2006-10-05,25.75,12
2006-10-06,5.416666666666667,12
2006-10-07,5.416666666666667,12
2006-10-08,32.416666666666664,12
2006-10-09,32.583333333333336,12
2006-10-10,17.083333333333332,12
2006-10-11,24.25,12
2006-10-12,45.416666666666664,12
2006-10-13,21.53846153846154,13
2006-10-14,0,13
2006-10-15,14.384615384615385,13
2006-10-16,34.15384615384615,13
2006-10-17,43.75,12
2006-10-18,40.333333333333336,12
2006-10-19,17.416666666666668,12
2006-10-20,0,12
2006-10-21,37.5,12
2006-10-22,54.083333333333336,12
2006-10-23,28.333333333333332,12
2006-10-24,29.75,12
2006-10-25,16.833333333333332,12
2006-10-26,35.333333333333336,12
2006-10-27,36.416666666666664,12
2006-10-28,16.307692307692307,13
2006-10-29,15.461538461538462,13
2006-10-30,34,13
2006-10-31,11.846153846153847,13
2006-11-01,9.923076923076923,13
2006-11-02,69.66666666666667,12
2006-11-03,21.583333333333332,12
2006-11-04,23.583333333333332,12
2006-11-05,20.916666666666668,12
2006-11-06,36.25,12
2006-11-07,22,12
2006-11-08,31.916666666666668,12
2006-11-09,21.666666666666668,12
2006-11-10,29.833333333333332,12
2006-11-11,0,12
2006-11-12,12.76923076923077,13
2006-11-13,17.692307692307693,13
2006-11-14,34.38461538461539,13
2006-11-15,17.692307692307693,13
2006-11-16,11.307692307692308,13
2006-11-17,36.916666666666664,12
2006-11-18,17.5,12
2006-11-19,0,12
2006-11-20,25,12
2006-11-21,31.25,12
2006-11-22,10.25,12
2006-11-23,3.8333333333333335,12
2006-11-24,31.75,12
2006-11-25,22.583333333333332,12
2006-11-26,11.333333333333334,12
2006-11-27,30.53846153846154,13
2006-11-28,11.461538461538462,13
2006-11-29,29.692307692307693,13
2006-11-30,11.23076923076923,13
2006-12-01,10.23076923076923,13
2006-12-02,10.083333333333334,12
2006-12-03,18.666666666666668,12
2006-12-04,36.833333333333336,12
2006-12-05,11.583333333333334,12
2006-12-06,3.9166666666666665,12
2006-12-07,27.083333333333332,12
2006-12-08,44.583333333333336,12
2006-12-09,28.333333333333332,12
2006-12-10,20.416666666666668,12
2006-12-11,16.333333333333332,12
2006-12-12,25.692307692307693,13
2006-12-13,35.07692307692308,13
2006-12-14,38.69230769230769,13
2006-12-15,2.6923076923076925,13
2006-12-16,3.5833333333333335,12
2006-12-17,53.166666666666664,12
2006-12-18,28,12
2006-12-19,23.833333333333332,12
2006-12-20,55.666666666666664,12
2006-12-21,4.416666666666667,12
2006-12-22,3.0833333333333335,12
2006-12-23,0,12
2006-12-24,9.083333333333334,12
2006-12-25,0,12
2006-12-26,2.4166666666666665,12
2006-12-27,29.76923076923077,13
2006-12-28,6.615384615384615,13
2006-12-29,14.076923076923077,13
2006-12-30,17.846153846153847,13
2006-12-31,41.166666666666664,12
2007-01-01,18.166666666666668,12
2007-01-02,9.833333333333334,12
2007-01-03,40.333333333333336,12
2007-01-04,48.083333333333336,12
2007-01-05,34.166666666666664,12
2007-01-06,37.833333333333336,12
2007-01-07,24.166666666666668,12
2007-01-08,40.5,12
2007-01-09,52.916666666666664,12
2007-01-10,44.75,12
2007-01-11,21.384615384615383,13
2007-01-12,28.46153846153846,13
2007-01-13,33.92307692307692,13
2007-01-14,41.53846153846154,13
2007-01-15,17.923076923076923,13
2007-01-16,36.083333333333336,12
2007-01-17,24.583333333333332,12
2007-01-18,37.083333333333336,12
2007-01-19,13.916666666666666,12
2007-01-20,17.083333333333332,12
2007-01-21,19.833333333333332,12
2007-01-22,24.666666666666668,12
2007-01-23,38.5,12
2007-01-24,40.666666666666664,12
2007-01-25,50.666666666666664,12
2007-01-26,5.615384615384615,13
2007-01-27,26.692307692307693,13
2007-01-28,5.6923076923076925,13
2007-01-29,32.92307692307692,13
2007-01-30,42,13
2007-01-31,14.666666666666666,12
2007-02-01,49.416666666666664,12
2007-02-02,43.083333333333336,12
2007-02-03,18.833333333333332,12
2007-02-04,10.583333333333334,12
2007-02-05,34.083333333333336,12
2007-02-06,21.166666666666668,12
2007-02-07,6.333333333333333,12
2007-02-08,26.166666666666668,12
2007-02-09,30.583333333333332,12
2007-02-10,24.76923076923077,13
2007-02-11,8.153846153846153,13
2007-02-12,31.153846153846153,13
2007-02-13,21.076923076923077,13
2007-02-14,21.923076923076923,13
2007-02-15,56.833333333333336,12
2007-02-16,39.25,12
2007-02-17,22.5,12
2007-02-18,35.833333333333336,12
2007-02-19,33.583333333333336,12
2007-02-20,16.583333333333332,12
2007-02-21,25.083333333333332,12
2007-02-22,21.916666666666668,12
2007-02-23,21.666666666666668,12
2007-02-24,32.916666666666664,12
2007-02-25,26.153846153846153,13
2007-02-26,36.38461538461539,13
2007-02-27,33.38461538461539,13
2007-02-28,20.153846153846153,13
2007-03-01,61.92307692307692,13
2007-03-02,8.5,12
2007-03-03,28.583333333333332,12
2007-03-04,33.25,12
2007-03-05,22.5,12
2007-03-06,15.083333333333334,12
2007-03-07,59.666666666666664,12
2007-03-08,55.916666666666664,12
2007-03-09,17.25,12
2007-03-10,37.75,12
2007-03-11,12.833333333333334,12
2007-03-12,53.38461538461539,13
2007-03-13,34.46153846153846,13
2007-03-14,30.666666666666668,12
2007-03-15,36.25,12
2007-03-16,43.75,12
2007-03-17,0,12
2007-03-18,39.333333333333336,12
2007-03-19,60.25,12
2007-03-20,36.833333333333336,12
2007-03-21,37.083333333333336,12
2007-03-22,7.666666666666667,12
2007-03-23,25.416666666666668,12
2007-03-24,0,12
2007-03-25,17.083333333333332,12
2007-03-26,42.166666666666664,12
2007-03-27,40.23076923076923,13
2007-03-28,23.692307692307693,13
2007-03-29,30.666666666666668,12
2007-03-30,18.666666666666668,12
2007-03-31,0,12
2007-04-01,14.75,12
2007-04-02,12.083333333333334,12
2007-04-03,30.333333333333332,12
2007-04-04,17,12
2007-04-05,10.916666666666666,12
2007-04-06,17.666666666666668,12
2007-04-07,0,12
2007-04-08,32.833333333333336,12
2007-04-09,9.25,12
2007-04-10,41.833333333333336,12
2007-04-11,20.384615384615383,13
2007-04-12,49.38461538461539,13
2007-04-13,23.615384615384617,13
2007-04-14,18.583333333333332,12
2007-04-15,11.416666666666666,12
2007-04-16,33.916666666666664,12
2007-04-17,37,12
2007-04-18,24.583333333333332,12
2007-04-19,32.666666666666664,12
2007-04-20,11.5,12
2007-04-21,0,12
2007-04-22,13.583333333333334,12
2007-04-23,31.5,12
2007-04-24,27.75,12
2007-04-25,43.5,12
2007-04-26,20.53846153846154,13
2007-04-27,38.69230769230769,13
2007-04-28,18.692307692307693,13
2007-04-29,1.75,12
2007-04-30,60.166666666666664,12
2007-05-01,10,12
2007-05-02,19.333333333333332,12
2007-05-03,31.75,12
2007-05-04,49.333333333333336,12
2007-05-05,7.5,12
2007-05-06,6.583333333333333,12
2007-05-07,39.75,12
2007-05-08,18.083333333333332,12
2007-05-09,27.75,12
2007-05-10,40.583333333333336,12
2007-05-11,37.38461538461539,13
2007-05-12,9.692307692307692,13
2007-05-13,19.583333333333332,12
2007-05-14,26.416666666666668,12
2007-05-15,14.666666666666666,12
2007-05-16,19.583333333333332,12
2007-05-17,0,12
2007-05-18,11.666666666666666,12
2007-05-19,7.5,12
2007-05-20,29.166666666666668,12
2007-05-21,37.166666666666664,12
2007-05-22,21.5,12
2007-05-23,40.083333333333336,12
2007-05-24,36.416666666666664,12
2007-05-25,38.333333333333336,12
2007-05-26,20.23076923076923,13
2007-05-27,20.23076923076923,13
2007-05-28,22.75,12
2007-05-29,34.916666666666664,12
2007-05-30,33,12
2007-05-31,19.583333333333332,12
2007-06-01,51.083333333333336,12
2007-06-02,20.083333333333332,12
2007-06-03,46.666666666666664,12
2007-06-04,16.416666666666668,12
2007-06-05,36.25,12
2007-06-06,9.25,12
2007-06-07,34.166666666666664,12
2007-06-08,26.833333333333332,12
2007-06-09,32.25,12
2007-06-10,32.84615384615385,13
2007-06-11,46.30769230769231,13
2007-06-12,33.07692307692308,13
2007-06-13,49.416666666666664,12
2007-06-14,49.083333333333336,12
2007-06-15,32.083333333333336,12
2007-06-16,24.333333333333332,12
2007-06-17,37.25,12
2007-06-18,50.166666666666664,12
2007-06-19,13.166666666666666,12
2007-06-20,19.5,12
2007-06-21,26.25,12
2007-06-22,17.083333333333332,12
2007-06-23,13.166666666666666,12
2007-06-24,34.25,12
2007-06-25,34.61538461538461,13
2007-06-26,33.15384615384615,13
2007-06-27,68.15384615384616,13
2007-06-28,35.083333333333336,12
2007-06-29,15.916666666666666,12
2007-06-30,33.083333333333336,12
2007-07-01,5.916666666666667,12
2007-07-02,26.75,12
2007-07-03,23.5,12
2007-07-04,17.916666666666668,12
2007-07-05,20.583333333333332,12
2007-07-06,19.75,12
2007-07-07,28.416666666666668,12
2007-07-08,18.416666666666668,12
2007-07-09,33.666666666666664,12
2007-07-10,28.846153846153847,13
2007-07-11,43.07692307692308,13
2007-07-12,22.083333333333332,12
2007-07-13,10.916666666666666,12
2007-07-14,21.833333333333332,12
2007-07-15,47.5,12
2007-07-16,4.75,12
2007-07-17,63.333333333333336,12
2007-07-18,50.916666666666664,12
2007-07-19,47.583333333333336,12
2007-07-20,26.416666666666668,12
2007-07-21,13,12
2007-07-22,34.583333333333336,12
2007-07-23,18.75,12
2007-07-24,24.666666666666668,12
2007-07-25,18,13
2007-07-26,13.153846153846153,13
2007-07-27,14.833333333333334,12
2007-07-28,33.916666666666664,12
2007-07-29,18.166666666666668,12
2007-07-30,48.666666666666664,12
2007-07-31,54.083333333333336,12
2007-08-01,25.583333333333332,12
2007-08-02,22.25,12
2007-08-03,28.5,12
2007-08-04,17.083333333333332,12
2007-08-05,6.916666666666667,12
2007-08-06,22.083333333333332,12
2007-08-07,13.666666666666666,12
2007-08-08,15.416666666666666,12
2007-08-09,36.38461538461539,13
2007-08-10,35.15384615384615,13
2007-08-11,12.916666666666666,12
2007-08-12,4.833333333333333,12
2007-08-13,16.666666666666668,12
2007-08-14,60.083333333333336,12
2007-08-15,44.333333333333336,12
2007-08-16,2.1666666666666665,12
2007-08-17,32.833333333333336,12
2007-08-18,0,12
2007-08-19,51.916666666666664,12
2007-08-20,8.583333333333334,12
2007-08-21,11.666666666666666,12
2007-08-22,10.25,12
2007-08-23,26.75,12
2007-08-24,21.76923076923077,13
2007-08-25,3.8461538461538463,13
2007-08-26,37.833333333333336,12
2007-08-27,61.166666666666664,12
2007-08-28,43.083333333333336,12
2007-08-29,42.25,12
2007-08-30,45.333333333333336,12
2007-08-31,27.416666666666668,12
2007-09-01,20,12
2007-09-02,20.666666666666668,12
2007-09-03,23.583333333333332,12
2007-09-04,30.666666666666668,12
2007-09-05,17.916666666666668,12
2007-09-06,11.416666666666666,12
2007-09-07,34.333333333333336,12
2007-09-08,1.2307692307692308,13
2007-09-09,57.15384615384615,13
2007-09-10,47.38461538461539,13
2007-09-11,58.23076923076923,13
2007-09-12,32.23076923076923,13
2007-09-13,23.916666666666668,12
2007-09-14,38.416666666666664,12
2007-09-15,41.416666666666664,12
2007-09-16,32.833333333333336,12
2007-09-17,30.333333333333332,12
2007-09-18,30.333333333333332,12
2007-09-19,38.166666666666664,12
2007-09-20,37.666666666666664,12
2007-09-21,0,12
2007-09-22,8.25,12
2007-09-23,40.15384615384615,13
2007-09-24,45.92307692307692,13
2007-09-25,40.46153846153846,13
2007-09-26,33.38461538461539,13
2007-09-27,33.38461538461539,13
2007-09-28,17,12
2007-09-29,7.833333333333333,12
2007-09-30,33.666666666666664,12
2007-10-01,59.416666666666664,12
2007-10-02,25.333333333333332,12
2007-10-03,25.083333333333332,12
2007-10-04,52.583333333333336,12
2007-10-05,24.833333333333332,12
2007-10-06,11.666666666666666,12
2007-10-07,19.833333333333332,12
2007-10-08,32.30769230769231,13
2007-10-09,10.153846153846153,13
2007-10-10,22.23076923076923,13
2007-10-11,14.846153846153847,13
2007-10-12,14.583333333333334,12
2007-10-13,22.083333333333332,12
2007-10-14,17,12
2007-10-15,25.25,12
2007-10-16,30.416666666666668,12
2007-10-17,19.833333333333332,12
2007-10-18,74.58333333333333,12
2007-10-19,18.75,12
2007-10-20,18.5,12
2007-10-21,14.583333333333334,12
2007-10-22,67.16666666666667,12
2007-10-23,31.076923076923077,13
2007-10-24,23.692307692307693,13
2007-10-25,63.53846153846154,13
2007-10-26,38.61538461538461,13
2007-10-27,31.583333333333332,12
2007-10-28,26.5,12
2007-10-29,21.25,12
2007-10-30,21.083333333333332,12
2007-10-31,46.666666666666664,12
2007-11-01,30.666666666666668,12
2007-11-02,23.25,12
2007-11-03,22.25,12
2007-11-04,22.5,12
2007-11-05,13.083333333333334,12
2007-11-06,27.833333333333332,12
2007-11-07,43.61538461538461,13
2007-11-08,26.076923076923077,13
2007-11-09,25.384615384615383,13
2007-11-10,22.076923076923077,13
2007-11-11,31.46153846153846,13
2007-11-12,51.5,12
2007-11-13,34.5,12
2007-11-14,26.25,12
2007-11-15,20.833333333333332,12
2007-11-16,9,12
2007-11-17,13.166666666666666,12
2007-11-18,9.666666666666666,12
2007-11-19,35.75,12
2007-11-20,22.166666666666668,12
2007-11-21,15.666666666666666,12
2007-11-22,40.07692307692308,13
2007-11-23,19.923076923076923,13
2007-11-24,23.76923076923077,13
2007-11-25,50.23076923076923,13
2007-11-26,17.46153846153846,13
2007-11-27,16.083333333333332,12
2007-11-28,38,12
2007-11-29,42.75,12
2007-11-30,31,12
2007-12-01,23.833333333333332,12
2007-12-02,18.333333333333332,12
2007-12-03,58,12
2007-12-04,23.75,12
2007-12-05,11.416666666666666,12
2007-12-06,26.083333333333332,12
2007-12-07,21.846153846153847,13
2007-12-08,22.076923076923077,13
2007-12-09,21.846153846153847,13
2007-12-10,32.30769230769231,13
2007-12-11,11.75,12
2007-12-12,27.833333333333332,12
2007-12-13,45.916666666666664,12
2007-12-14,9.083333333333334,12
2007-12-15,15.583333333333334,12
2007-12-16,9.083333333333334,12
2007-12-17,43.5,12
2007-12-18,27.75,12
2007-12-19,41.583333333333336,12
2007-12-20,18.166666666666668,12
2007-12-21,17.583333333333332,12
2007-12-22,17.23076923076923,13
2007-12-23,4.615384615384615,13
2007-12-24,23.307692307692307,13
2007-12-25,0,13
2007-12-26,3,12
2007-12-27,23.916666666666668,12
2007-12-28,12.5,12
2007-12-29,15.666666666666666,12
2007-12-30,7.083333333333333,12
2007-12-31,18.5,12
2008-01-01,40.666666666666664,12
2008-01-02,43.083333333333336,12
2008-01-03,47.416666666666664,12
2008-01-04,29.666666666666668,12
2008-01-05,21,12
2008-01-06,37.38461538461539,13
2008-01-07,49.07692307692308,13
2008-01-08,29.923076923076923,13
2008-01-09,26.23076923076923,13
2008-01-10,42,13
2008-01-11,27,12
2008-01-12,27.333333333333332,12
2008-01-13,38,12
2008-01-14,35.5,12
2008-01-15,33.416666666666664,12
2008-01-16,23.916666666666668,12
2008-01-17,45.666666666666664,12
2008-01-18,35.916666666666664,12
2008-01-19,19.416666666666668,12
2008-01-20,10.333333333333334,12
2008-01-21,23.384615384615383,13
2008-01-22,37.76923076923077,13
2008-01-23,34.46153846153846,13
2008-01-24,35.15384615384615,13
2008-01-25,19.692307692307693,13
2008-01-26,36.583333333333336,12
2008-01-27,30.083333333333332,12
2008-01-28,43.083333333333336,12
2008-01-29,30.583333333333332,12
2008-01-30,38.333333333333336,12
2008-01-31,22.166666666666668,12
2008-02-01,43.666666666666664,12
2008-02-02,4.916666666666667,12
2008-02-03,28.583333333333332,12
2008-02-04,17,12
2008-02-05,14.76923076923077,13
2008-02-06,51.07692307692308,13
2008-02-07,45.30769230769231,13
2008-02-08,8,13
2008-02-09,2.6923076923076925,13
2008-02-10,29.333333333333332,12
2008-02-11,24.833333333333332,12
2008-02-12,31.5,12
2008-02-13,43.916666666666664,12
2008-02-14,34.5,12
2008-02-15,16.166666666666668,12
2008-02-16,22.833333333333332,12
2008-02-17,10.166666666666666,12
2008-02-18,25.333333333333332,12
2008-02-19,39.916666666666664,12
2008-02-20,48.76923076923077,13
2008-02-21,42.92307692307692,13
2008-02-22,4.230769230769231,13
2008-02-23,26.076923076923077,13
2008-02-24,35.76923076923077,13
2008-02-25,24.75,12
2008-02-26,33.833333333333336,12
2008-02-27,15.5,12
2008-02-28,32.5,12
2008-02-29,11.916666666666666,12
2008-03-01,19.583333333333332,12
2008-03-02,45.666666666666664,12
2008-03-03,8.5,12
2008-03-04,39.666666666666664,12
2008-03-05,42,12
2008-03-06,29.53846153846154,13
2008-03-07,23.76923076923077,13
2008-03-08,17.846153846153847,13
2008-03-09,16.5,12
2008-03-10,74.58333333333333,12
2008-03-11,27.416666666666668,12
2008-03-12,18.916666666666668,12
2008-03-13,13.5,12
2008-03-14,17.833333333333332,12
2008-03-15,4.583333333333333,12
2008-03-16,38.833333333333336,12
2008-03-17,33.416666666666664,12
2008-03-18,50.583333333333336,12
2008-03-19,18.166666666666668,12
2008-03-20,33.75,12
2008-03-21,7.384615384615385,13
2008-03-22,20.46153846153846,13
2008-03-23,19.846153846153847,13
2008-03-24,22.833333333333332,12
2008-03-25,32.416666666666664,12
2008-03-26,48.083333333333336,12
2008-03-27,32.5,12
2008-03-28,29.416666666666668,12
2008-03-29,38.75,12
2008-03-30,23.666666666666668,12
2008-03-31,40.5,12
2008-04-01,13.166666666666666,12
2008-04-02,34.75,12
2008-04-03,2.0833333333333335,12
2008-04-04,30,12
2008-04-05,21.307692307692307,13
2008-04-06,33.38461538461539,13
2008-04-07,53.15384615384615,13
2008-04-08,55.15384615384615,13
2008-04-09,43.333333333333336,12
2008-04-10,52.5,12
2008-04-11,9.5,12
2008-04-12,29.25,12
2008-04-13,21.083333333333332,12
2008-04-14,24.583333333333332,12
2008-04-15,30.083333333333332,12
2008-04-16,54.416666666666664,12
2008-04-17,19.75,12
2008-04-18,33.833333333333336,12
2008-04-19,35.583333333333336,12
2008-04-20,21.307692307692307,13
2008-04-21,20.923076923076923,13
2008-04-22,38.46153846153846,13
2008-04-23,13.153846153846153,13
2008-04-24,14.75,12
2008-04-25,30.083333333333332,12
2008-04-26,10.416666666666666,12
2008-04-27,49.583333333333336,12
2008-04-28,23.583333333333332,12
2008-04-29,46.333333333333336,12
2008-04-30,29.333333333333332,12
2008-05-01,26.166666666666668,12
2008-05-02,12.583333333333334,12
2008-05-03,17.666666666666668,12
2008-05-04,27.916666666666668,12
2008-05-05,43.30769230769231,13
2008-05-06,32,13
2008-05-07,47,13
2008-05-08,53.583333333333336,12
2008-05-09,14.666666666666666,12
2008-05-10,20.083333333333332,12
2008-05-11,5.583333333333333,12
2008-05-12,16.666666666666668,12
2008-05-13,44,12
2008-05-14,58.5,12
2008-05-15,28.5,12
2008-05-16,36.5,12
2008-05-17,27.833333333333332,12
2008-05-18,34,12
2008-05-19,31.333333333333332,12
2008-05-20,24.692307692307693,13
2008-05-21,27.692307692307693,13
2008-05-22,26.846153846153847,13
2008-05-23,29.333333333333332,12
2008-05-24,7.25,12
2008-05-25,13.166666666666666,12
