time,value,n
2021-08-16,50.42857142857143,1
2021-08-17,69.08333333333333,1
2021-08-18,67,1
2021-08-19,65.375,1
2021-08-20,53.458333333333336,1
2021-08-21,37.875,1
2021-08-22,44.833333333333336,1
2021-08-23,69.3529411764706,1
